,nvplay_name,name,cricinfo_id
0,J Clarke,Joe Clarke,571911.0
1,RF Higgins,Ryan Higgins,572199.0
2,T Banton,Tom Banton,877051.0
3,SR Hain,Sam Hain,555850.0
4,BM Duckett,Ben Duckett,521637.0
5,JJ Cobb,Josh Cobb,308408.0
6,OJD Pope,Ollie Pope,887207.0
7,NL Ahmad,Noor Ahmad,1182529.0
8,AL Davies,Alex Davies,516039.0
9,JM Vince,James Vince,296597.0
10,MP Stoinis,Marcus Stoinis,325012.0
11,C Overton,Craig Overton,464626.0
12,A Zampa,Adam Zampa,379504.0
13,RJ Gleeson,Richard Gleeson,473191.0
14,JB Little,Josh Little,928067.0
15,M Carter,Matthew Carter,631545.0
16,L Wood,Luke Wood,573170.0
17,HWR Cartwright,Hilton Cartwright,557295.0
18,TK Curran,Tom Curran,550235.0
19,JJ Roy,Jason Roy,298438.0
20,SM Curran,Sam Curran,662973.0
21,WG Jacks,Will Jacks,897549.0
22,SW Billings,Sam Billings,297628.0
23,J Cox,Jordan Cox,1112537.0
24,Danny Briggs,Danny Briggs,310107.0
25,LA Dawson,Liam Dawson,211855.0
26,KA Pollard,Kieron Pollard,230559.0
27,D Lawrence,Dan Lawrence,641423.0
28,RJW Topley,Reece Topley,461632.0
29,GJ Maxwell,Glenn Maxwell,325026.0
30,EJG Morgan,Eoin Morgan,24598.0
31,AM Rossington,Adam Rossington,457280.0
32,Z Crawley,Zak Crawley,665053.0
33,Jordan Thompson,Jordan Thompson,766809.0
34,SP Narine,Sunil Narine,230558.0
35,HC Brook,Harry Brook,911707.0
36,PD Salt,Phil Salt,669365.0
37,WL Madsen,Wayne Madsen,46543.0
38,AD Russell,Andre Russell,276298.0
39,PI Walter,Paul Walter,909225.0
40,Adam Lyth,Adam Lyth,251721.0
41,JC Buttler,Jos Buttler,308967.0
42,MKS Pepper,Michael Pepper,772293.0
43,LJ Evans,Laurie Evans,256956.0
44,DJ Willey,David Willey,308251.0
45,MJ Potts,Matthew Potts,1027781.0
46,D Wiese,David Wiese,221140.0
47,F du Plessis,Faf du Plessis,44828.0
48,DJ Malan,Dawid Malan,236489.0
49,MM Ali,Moeen Ali,8917.0
50,JE Root,Joe Root,303669.0
51,AD Hales,Alex Hales,249866.0
52,Benny Howell,Benny Howell,211748.0
53,CG Benjamin,Chris Benjamin,1149157.0
54,DR Mousley,Dan Mousley,1172968.0
55,MA Hammond,Miles Hammond,460079.0
56,W Smeed,Will Smeed,1099224.0
57,C Munro,Colin Munro,232359.0
58,G Van Burren,Graeme van Buuren,381002.0
59,G Van Buuren,Graeme van Buuren,381002.0
60,Tom Kohler Cadmore,Tom Kohler-Cadmore,470633.0
61,RA Khan,Rashid Khan,793463.0
62,L Gregory,Lewis Gregory,362201.0
63,LS Livingstone,Liam Livingstone,403902.0
64,DA Miller,David Miller,321777.0
65,DA Miller,David Miller,321777.0
66,RR Rossouw,Rilee Rossouw,318845.0
67,Ravi Bopara,Ravi Bopara,10582.0
68,Matthew Parkinson,Matt Parkinson,653695.0
69,T Stubbs,Tristan Stubbs,595978.0
70,SA Abbott,Sean Abbott,398666.0
71,TW Hartley,Tom Hartley,1150772.0
72,FJ Klaassen,Fred Klaassen,1104703.0
73,DJ Bravo,Dwayne Bravo,51439.0
74,JA Simpson,John Simpson,21440.0
75,RE van der Merwe,Roelof van der Merwe,47850.0
76,BA Raine,Ben Raine,459761.0
77,T Shamsi,Tabraiz Shamsi,379145.0
78,LJ  Fletcher,Luke Fletcher,297592.0
79,LJ Fletcher,Luke Fletcher,297592.0
80,A John Hose,Adam Hose,525992.0
81,T Mills,Tymal Mills,459257.0
82,JB Lintott,Jake Lintott,463668.0
83,G Garton,George Garton,643433.0
84,Ross Whiteley,Ross Whiteley,288617.0
85,CJ Jordan,Chris Jordan,288992.0
86,Q de Kock,Quinton de Kock,379143.0
87,MS Wade,Matthew Wade,230193.0
88,JK Fuller,James Fuller,451782.0
89,TH David,Tim David,892749.0
90,JA Haynes,Jack Haynes,1110475.0
91,BTJ Wheal,Brad Wheal,807535.0
92,DJB Drummond,Daniel Bell-Drummond,422593.0
93,R Ahmed,Rehan Ahmed,1263691.0
94,TG Helm,Tom Helm,512907.0
95,HJH Brookes,Henry Brookes,1026379.0
96,I Cockbain,Ian Cockbain,297498.0
97,D Pretorius,Dwaine Pretorius,327830.0
98,Wahab Riaz,Wahab Riaz,43590.0
99,SJ Cook,Sam Cook,772061.0
100,DR Sams,Daniel Sams,826901.0
101,Samit Patel,Samit Patel,18632.0
102,T van der Gugten,Timm van der Gugten,333782.0
103,D Payne,David Payne,362710.0
104,MT Stanley,Mitchell Stanley,1145534.0
105,JT Ball,Jake Ball,414990.0
106,MJ Critchley,Matt Critchley,776695.0
107,DT Moriarty,Dan Moriarty,949561.0
108,MG Hogan,Michael Hogan,275658.0
109,Imran Tahir,Imran Tahir,40618.0
110,KW Richardson,Kane Richardson,272262.0
111,B McDermott,Ben McDermott,603410.0
112,N Ellis,Nathan Ellis,826915.0
113,CP Wood,Chris Wood,310525.0
114,MS Crane,Mason Crane,660889.0
115,TJ Moores,Tom Moores,788101.0
116,CN Ackermann,Colin Ackermann,379774.0
117,PR Stirling,Paul Stirling,303427.0
118,GLS Scrimshaw,George Scrimshaw,857979.0
119,J Bethell,Jacob Bethell,1194959.0
120,JL du Plooy,Leus du Plooy,595739.0
121,ME Milnes,Matt Milnes,639140.0
122,M Hasnain,Mohammad Hasnain,1158100.0
123,IS Sodhi,Ish Sodhi,559066.0
124,Josh Inglis,Josh Inglis,662235.0
125,PR Brown,Pat Brown,891517.0
126,T Lammonby,Tom Lammonby,902907.0
127,B Dwarshuis,Ben Dwarshuis,679567.0
128,Brett D Oliveria,Brett DOliveira,471202.0
129,A Turner,Ashton Turner,500268.0
130,T Sangha,Tanveer Sangha,1170471.0
131,SG Budinger,Sol Budinger,1030753.0
132,WD Parnell,Wayne Parnell,265564.0
133,CF Parkinson,Callum Parkinson,789729.0
134,NA Sowter,Nathan Sowter,747315.0
135,S Baker,Sonny Baker,1191192.0
136,P Hatzoglou,Peter Hatzoglou,1191384.0
137,CN Miles,Craig Miles,407875.0
138,AU Rashid,Adil Rashid,244497.0
