nvplay_name,name,cricinfo_id
TJ Moores,Tom Moores,788101.0
Steven Mullaney,Steven Mullaney,17986.0
O Price,Oliver Price,1153276.0
Samit Patel,Samit Patel,18632.0
SA Abbott,Sean Abbott,398666.0
Lyndon James,Lyndon James,1046871.0
DJB Drummond,Daniel Bell-Drummond,422593.0
RAJ Smith,Ruaidhri Smith,458897.0
J Clarke,Joe Clarke,571911.0
Tom Alsop,Tom Alsop,602155.0
Tawanda Muyeye,Tawanda Muyeye,1260386.0
GJ Maxwell,Glenn Maxwell,325026.0
Grant Stewart,Grant Stewart,1098186.0
AD Hales,Alex Hales,249866.0
D Wiese,David Wiese,221140.0
SW Billings,Sam Billings,297628.0
GF Linde,George Linde,481875.0
J Cox,Jordan Cox,1112537.0
JL Denly,Joe Denly,12454.0
Joey Evison,Joey Evison,1115852.0
LS Livingstone,Liam Livingstone,403902.0
P Hatzoglou,Peter Hatzoglou,1191384.0
MA Jones,Michael Jones,1093091.0
Archie Lenham,Archie Lenham,1260072.0
DJ Worrall,Daniel Worrall,557298.0
Jamie McIlroy,Jamie McIlroy,741831.0
C Overton,Craig Overton,464626.0
CT Steel,Cameron Steel,633301.0
A Turner,Ashton Turner,500268.0
Ollie Robinson,Ollie Robinson,527776.0
Ollie Robinson,Ollie Robinson,893955.0
Billy Root,Billy Root,425692.0
D Payne,David Payne,362710.0
M de Lange,Marchant de Lange,393279.0
Tom Smith,Tom Smith,243945.0
Tom Smith,Tom Smith,21447.0
S Mahmood,Saqib Mahmood,643885.0
Matthew Parkinson,Matt Parkinson,653695.0
B Guest,Brooke Guest,959825.0
JJ Bohannon,Josh Bohannon,747067.0
Tom Smith,Tom Smith,1282218.0
B de Leede,Bas de Leede,1036191.0
L Doneathy,Luke Doneathy,1150572.0
L Trevaskis,Liam Trevaskis,914623.0
Shaheen Shah Afridi,Shaheen Shah Afridi,1072470.0
MJ Critchley,Matt Critchley,776695.0
James Bracey,James Bracey,747031.0
AM Rossington,Adam Rossington,457280.0
Feroze Khushi,Feroze Khushi,866505.0
Robin Das,Robin Das,1149211.0
Jack Brooks,Jack Brooks,10622.0
W Luxton,William Luxton,1263698.0
PI Walter,Paul Walter,909225.0
Tom Westley,Tom Westley,214265.0
DR Sams,Daniel Sams,826901.0
S Harmer,Simon Harmer,432960.0
DJ Lamb,Danny Lamb,637151.0
E Barnes,Ed Barnes,1022671.0
MG Anthony Finan,Michael Finan,1023059.0
OP Stone,Olly Stone,457279.0
Imad Wasim,Imad Wasim,227758.0
Harry Podmore,Harry Podmore,514398.0
JK Fuller,James Fuller,451782.0
Jack Davies,Jack Davies,1095879.0
EG Barnard,Ed Barnard,578769.0
