,src_player_id,player_name,competition_name,season,team_id,cricinfo_id
0,f32015900d88626f,Ahmed Daniyal,BBL,2021,5,1249564
1,e1c6653c51a5429c,Daniel Christian,BBL,2021,7,4864
2,e1c6653c51a5429c,Daniel Christian,IPL,2013,28
3,e1c6653c51a5429c,Daniel Christian,BBL,2019,4
4,e1c6653c51a5429c,Daniel Christian,BBL,2022,7
5,e1c6653c51a5429c,Daniel Christian,IPL,2021,16
6,e1c6653c51a5429c,Daniel Christian,IPL,2017,24
7,e1c6653c51a5429c,Daniel Christian,IPL,2012,16
8,e1c6653c51a5429c,Daniel Christian,IPL,2018,17
9,e1c6653c51a5429c,Daniel Christian,BBL,2018,4
10,e1c6653c51a5429c,Daniel Christian,BBL,2020,7
11,e1c6653c51a5429c,Daniel Christian,IPL,2011,16
12,de13b108d6424a73,Ian Cockbain,BBL,2021,1,297498
13,dcf4bceb01e42905,Ronan McDonald,BBL,2021,2,499488
14,bd92d3ec877f4e9d,Chris Sabburg,BBL,2021,6,376179
15,bc7a360cfd134f66,Xavier Crone,BBL,2021,5,1062338
16,afc862e662b74f64,Steve O Keefe,BBL,2021,7,7069
17,afc862e662b74f64,Steve O Keefe,BBL,2019,7
18,afc862e662b74f64,Steve O Keefe,BBL,2022,7
19,afc862e662b74f64,Steve O Keefe,BBL,2018,7
20,afc862e662b74f64,Steve O Keefe,BBL,2020,7
21,a90f6be2bfb0458b,Jake Carder,BBL,2021,7 =====
22,a6a5a9bb2752482d,Nathan Coulter Nile,BBL,2021,5,261354
23,a6a5a9bb2752482d,Nathan Coulter Nile,IPL,2013,23
24,a6a5a9bb2752482d,Nathan Coulter Nile,IPL,2022,27
25,a6a5a9bb2752482d,Nathan Coulter Nile,BBL,2019,5
26,a6a5a9bb2752482d,Nathan Coulter Nile,BBL,2022,5
27,a6a5a9bb2752482d,Nathan Coulter Nile,IPL,2021,23
28,a6a5a9bb2752482d,Nathan Coulter Nile,IPL,2017,21
29,a6a5a9bb2752482d,Nathan Coulter Nile,IPL,2015,17
30,a6a5a9bb2752482d,Nathan Coulter Nile,BBL,2018,6
31,a6a5a9bb2752482d,Nathan Coulter Nile,BBL,2020,5
32,a6a5a9bb2752482d,Nathan Coulter Nile,IPL,2014,17
33,a359a2e2a7ba9138,Will Sanders,BBL,2021,3,1295979
34,982dd92d8abc401e,Sandeep Lamichane,BBL,2021,3,960361
35,982dd92d8abc401e,Sandeep Lamichane,BBL,2019,5
36,982dd92d8abc401e,Sandeep Lamichane,IPL,2021,17
37,982dd92d8abc401e,Sandeep Lamichane,CPL,2018,12
38,982dd92d8abc401e,Sandeep Lamichane,CPL,2019,9
39,982dd92d8abc401e,Sandeep Lamichane,CPL,2020,11
40,982dd92d8abc401e,Sandeep Lamichane,IPL,2019,17
41,982dd92d8abc401e,Sandeep Lamichane,BBL,2018,5
42,982dd92d8abc401e,Sandeep Lamichane,BBL,2020,3
43,8d85c8ae64866d5d,Lachlan Pfeffer,BBL,2021,2,333800
44,885168d876d34409,Samuel Elliott,BBL,2021,5,1219974
45,79cebd75ad33b036,Tom Lammonby,BBL,2021,3,902907
46,7935f474a133f40a,Jack Clayton,BBL,2021,2,1202236
47,74b05ca3b8674106,D Arcy Short,BBL,2021,3,308798
48,74b05ca3b8674106,D Arcy Short,BBL,2019,3
49,74b05ca3b8674106,D Arcy Short,BBL,2022,3
50,74b05ca3b8674106,D Arcy Short,IPL,2021,27
51,74b05ca3b8674106,D Arcy Short,IPL,2018,27
52,74b05ca3b8674106,D Arcy Short,BBL,2018,3
53,74b05ca3b8674106,D Arcy Short,BBL,2020,3
54,73fc2369ce2e4713,Ben Mcdermott,BBL,2021,3,603410
55,73fc2369ce2e4713,Ben Mcdermott,BBL,2019,3
56,73fc2369ce2e4713,Ben Mcdermott,BBL,2022,3
57,73fc2369ce2e4713,Ben Mcdermott,SA20,2023,30
58,73fc2369ce2e4713,Ben Mcdermott,BBL,2018,3
59,73fc2369ce2e4713,Ben Mcdermott,BBL,2020,3
60,62a5f684cad14b6b,Fakhar Zaman,BBL,2021,2,512191
61,4ec1a8da14422204,Patrick Rowe,BBL,2021,5,1130758
62,421e7496dd174526,Nathan Mcandrew,BBL,2021,8,785323
63,421e7496dd174526,Nathan Mcandrew,BBL,2019,8
64,421e7496dd174526,Nathan Mcandrew,BBL,2022,8
65,421e7496dd174526,Nathan Mcandrew,BBL,2018,8
66,421e7496dd174526,Nathan Mcandrew,BBL,2020,8
67,2a9451fa5ba536f7,Daniel Drew,BBL,2021,1,1062347
68,19001a9f839f4e1a,Tom OConnell,BBL,2021,5,1159591
69,19001a9f839f4e1a,Tom OConnell,BBL,2018,5
70,19001a9f839f4e1a,Tom OConnell,BBL,2020,5
71,169b4fc50d409647,Steven McGiffin,BBL,2021,2,1223053
72,fafa5783604f45e2,Gurkeerat Mann Singh,IPL,2013,26,537124
73,fafa5783604f45e2,Gurkeerat Mann Singh,IPL,2021,26
74,fafa5783604f45e2,Gurkeerat Mann Singh,IPL,2015,26
75,fafa5783604f45e2,Gurkeerat Mann Singh,IPL,2012,26
76,fafa5783604f45e2,Gurkeerat Mann Singh,IPL,2019,28
77,f813e81b9c28461d,Harmeet Singh Bansal,IPL,2013,26,391128
78,f813e81b9c28461d,Harmeet Singh Bansal,IPL,2021,16
79,f813e81b9c28461d,Harmeet Singh Bansal,IPL,2010,16
80,f813e81b9c28461d,Harmeet Singh Bansal,IPL,2012,26
81,f3bfe7d38da54016,Siddarth Trivedi,IPL,2013,27,35353
