id,name,catapult_id
10159,Rahul Buddhi,['dd303578-c51a-4137-87d8-9f493e01f66e']
10209,Ramandeep Singh,['e9cfe0de-0e2b-4c59-ac74-20cecdf0d605']
10251,Rashid Khan,"['d97aa3b3-8e5e-4435-8b31-824e9e562246', '77a936b6-e5ec-489a-8f13-89b0ac5cdee1']"
10252,Rashid Khan,"['d97aa3b3-8e5e-4435-8b31-824e9e562246', '77a936b6-e5ec-489a-8f13-89b0ac5cdee1']"
10253,Rashid Khan,"['d97aa3b3-8e5e-4435-8b31-824e9e562246', '77a936b6-e5ec-489a-8f13-89b0ac5cdee1']"
10254,Rashid Khan,"['d97aa3b3-8e5e-4435-8b31-824e9e562246', '77a936b6-e5ec-489a-8f13-89b0ac5cdee1']"
10385,Ryan Rickelton,['a671d092-18f8-49cf-9058-8ed4f7abf39d']
10465,Raghav Goyal,['9e44b95b-7556-4840-8047-91cee8a463c0']
10471,Rohit Sharma,['486c5b82-c141-4a21-8bea-88acf8313866']
10808,Rohit Sharma,['486c5b82-c141-4a21-8bea-88acf8313866']
10860,Riley Meredith,['e4f87a84-d964-4aec-b57d-52fef2fefb22']
10868,Rohit Sharma,['486c5b82-c141-4a21-8bea-88acf8313866']
10940,Sanjay Yadav,"['07c504ab-3fbb-4237-8bfb-25c56b491367', '674a948d-1997-4f32-bd60-01fc43073705']"
11369,Suryakumar Yadav,['d2b93010-03d2-4a73-90d6-3ad28a15223d']
11727,Shayan Jahangir,['c71940dc-70d1-421d-8555-e6e8e5b2ce93']
12078,Sam Curran,['313db47e-2d12-4485-a2b6-7b154e41eb6a']
12322,Samit Patel,['4b5ad5fb-722b-4306-84fb-7b18c0eb134b']
12329,Steven Taylor,['41ec376e-0e37-4968-ab8c-cd30b02729ea']
12354,Sandeep Warrier,"['31767716-9f4e-4e71-b39c-dff7a5bcc6e4', 'd1311e6f-2b7f-4a29-ae60-de469df546e6']"
12429,Saurabh Tiwary,['a9094ef2-0b54-4a5d-bb45-68416ced9df7']
12659,Shams Mulani,['97880790-3777-4c8b-9e48-5707da5de0e9']
12664,Trent Boult,['8861b593-f392-448e-ac4c-af034763e3c1']
12757,Tom Banton,['c463c2ba-71a2-485e-876a-3192a210f5b6']
12890,Tim David,"['80b4f18f-b13d-4561-95c8-24afb32aa94b', '8b8f923a-07e0-47a0-8249-8868e29c0265', '8e5d4098-b700-440e-b15d-c43d4041a67f', '5ae73b60-6769-4769-9ca9-1683b6cef153']"
12912,Tilak Varma,['60bded8b-7a7f-460c-8581-d1a289a73856']
13097,Thomas Kaber,['0d2aaf1a-502b-4b00-a3bd-21b24e599e7a']
13165,Tymal Mills,['cea8af31-26aa-4f70-989e-be96227dc917']
13179,Tristan Stubbs,['74c6792a-7414-4e4b-9e8f-8434c1474859']
13355,Vriitya Aravind,['86f7961d-9d20-42ee-aa42-1d12ed5e4c6c']
13450,Vishnu Vinod,['5444cd51-fb65-4a89-8ce1-654d3e8f7640']
13569,Vijayakanth Viyaskanth,['5f42b141-b550-40a5-adbd-86f63bffbbfd']
13620,Waqar Salamkheil,"['2a30d4dd-9e8f-4008-b7e7-2a7b4e85874f', '1a46c912-be51-48a1-a5c6-7e57b6954d7b']"
13632,Muhammad Waseem,['4c61e306-9dc4-4534-8a7b-bbfb638f5058']
13666,Wesley Marshall,['1e48b514-f1f9-4680-838e-d262d622cb62']
13676,Will Smeed,['7560fdc0-f1dc-4171-ae93-963c90942ecf']
13994,Yudhvir Singh,['f8ce8712-a951-4866-882e-e9c234ba4cd5']
14019,Ziyaad Abrahams,['ee442718-620a-4fe4-9a6f-4e4b1be8daef']
14037,Zahir Khan,['96623235-f41e-47d7-a17e-ba1d930b0345']
14041,Zahoor Khan,['c2bec24f-9773-4a81-b273-75911c91affa']
14210,Mohsin Khan,['90012863-f840-44c0-90b7-7aff8d0a6cd0']
